,neighborhood,%inc_rac,public_housing,pc,Foreign-born population,Median household income ($2016),"Median rent, all ($2016)",Percent Asian,Percent Hispanic,Percent black,Percent white,Population aged 25+ with a bachelor's degree or higher,Population aged 25+ without a high school diploma,"Population density (1,000 persons per square mile)",Poverty rate,Racial diversity index,Unemployment rate,entropy_index,avg_entropy
23,Jamaica,0.016180217446346325,0,0,0.3780458658333334,51923.333333333336,1082.5,0.09828240716666665,0.14916830425,0.5950457953333335,0.01608546875,0.17623272483333333,0.19457980491666668,22.84883972,0.1286509615833333,0.4936524475,0.10872462608333332,0.009964576687764454,0.885065599048147
24,Kingsbridge Heights/Moshulu,-0.01875071182749253,0,0,0.3856996910833333,30538.333333333332,1030.8333333333333,0.05457665233333333,0.6139148105833333,0.1561196515,0.067817059,0.14958692691666667,0.2989335361666667,75.11696372,0.2925154134166667,0.46805184516666665,0.11993392308333332,-0.01985631152384516,0.9329054235919405
25,Lower East Side/Chinatown,0.001973230324503593,1,1,0.3352986089999999,38614.166666666664,888.3333333333334,0.3119942623333332,0.21624452491666665,0.06824739925,0.2972419564166667,0.36726064441666667,0.2557314284166667,85.5323411575,0.2395867553333333,0.6566423505833333,0.07747315283333334,0.0027947760209350806,1.2637997903289133
26,Middle Village/Ridgewood,inf,0,2,0.35363434441666675,55882.5,1214.1666666666667,0.06404424916666666,0.28840867783333335,0.010693768499999999,0.46014479066666664,0.2098942606666667,0.17243878666666665,22.170978974999997,0.11594227616666668,0.4732673082499999,0.061953025916666654,,
27,Morningside Heights/Hamilton Heights,0.004634615860510716,1,1,0.30781782300000005,39422.5,1044.1666666666667,0.06310836183333335,0.36309373083333335,0.21226742675000002,0.24799612299999998,0.3964415344166667,0.20356462016666668,69.49541148583333,0.24785592349999996,0.6495664904166667,0.06780235066666666,0.005753301966312458,1.2400710841501967
28,Morrisania/Belmont,0.00048380756508108067,1,1,0.27056054150000003,21668.333333333332,824.1666666666666,0.008428494916666666,0.5701387636666667,0.2866573066666666,0.04122377133333333,0.09948063150000001,0.35897854966666665,33.829177153333326,0.3860340809166667,0.4698458945833333,0.13784565516666666,0.005993314569160746,0.8377173104591464
29,Mott Haven/Hunts Point,0.00918978422902874,1,1,0.25295832875,20435.833333333332,720.0,0.007231388250000001,0.6309531605833333,0.25116010158333335,0.016685607249999998,0.07902256416666666,0.40958670583333334,29.245521926666672,0.39537181299999996,0.4121936860833333,0.12787646991666668,0.007649517352612656,0.7181922007797915
30,North Crown Heights/Prospect Heights,0.04232159061702312,0,0,0.2790147596666667,40030.0,1031.6666666666667,0.02567233183333333,0.10790246033333334,0.5977270410833334,0.16033908158333335,0.30111940033333334,0.16611491224999997,52.23103163833334,0.22876531499999997,0.4797666680833333,0.08707272666666667,0.034392124328243595,0.9311835892590113
31,Park Slope/Carroll Gardens,0.0020393762492026857,1,1,0.1526117695,89409.16666666667,1551.6666666666667,0.05490880316666666,0.16600841249999995,0.07130349141666666,0.5901040213333333,0.61194331625,0.09568307841666668,26.422972859999998,0.09587812441666667,0.49672888491666667,0.04701609941666666,-0.0009498906847323604,0.9580948200537344
32,Queens Village,0.0073310365839806095,0,0,0.386605041,74204.16666666667,1343.3333333333333,0.13531802775,0.10141398141666667,0.5181642987499999,0.12059152608333334,0.26978052283333337,0.11937410566666667,9.423835808666665,0.06622686908333333,0.5758520326666666,0.07343076608333333,0.002482570084724815,1.112876017955082
